LOCATION.ID  METER.NO   C.T.RATIO   P.T.RATIO  CATEGORY  PLACE OF INSTALLATION OF SEM
---------------------------------------------------------------------------------------------
 SI-01	     NP-1535-A     400      1200          M	 132kV Renusagar at Singrauli STPS 
 SI-02	     NP-1540-A     400      1200          M	 132 kV V'chal/Rihand at Singrauli STPS 
 SI-03	     NP-5336-A     2000     3636.3636     M	 400kV Allahabad- 1 at Singrauli STPS  
 SI-04       NP-1553-A     2000     3636.3636     M	 400kV Allahabad- 2 at Singrauli STPS
 SI-38       NR-3861-A     2000     3636.3636     M	 400kV Allahabad- 3 at Singrauli STPS 
 SI-05       NP-5055-A     2000     3636.3636     M	 400kV Rihand - 1 at Singrauli STPS  
 SI-06       NP-5041-A     2000     3636.3636     M	 400kV Rihand - 2 at Singrauli STPS 
 SI-07       NP-1556-A     2000     3636.3636     M	 400kV Lucknow at Singrauli STPS   
 SI-08       NP-1538-A     2000     3636.3636     M	 400kV Vindyachal-1 at Singrauli STPS  
 SI-09       NP-1533-A     2000     3636.3636     M	 400kV Anpara at Singrauli STPS
 SI-30       NP-5054-A     2000     3636.3636     M	 400kV Fatehpu-PG(Kanpur)  at Singrauli STPS
 SI-32       NP-1543-A     1000     3636.3636     M	 400kV Vindyachal-2  at Singrauli STPS 
 SI-11       NP-1287-A     2000     3636.3636     C	 400kV Allahabad-1 at Singrauli STPS  
 SI-12       NP-1554-A     2000     3636.3636     C	 400kV Allahabad-2 at Singrauli STPS
 SI-39       NR-3864-A     2000     3636.3636     C	 400kV Allahabad- 3 at Singrauli STPS   
 SI-13       NP-5053-A     2000     3636.3636     C	 400kV Rihand-1 at Singrauli STPS  
 SI-14       NP-1537-A     2000     3636.3636     C	 400kV Rihand-2 at Singrauli STPS  
 SI-15       NP-1557-A     2000     3636.3636     C	 400kV Lucknow at Singrauli STPS 
 SI-16       NP-1539-A     2000     3636.3636     C	 400kV Vindyachal-1 at Singrauli STPS  
 SI-17       NP-1534-A     2000     3636.3636     C	 400kV Anpara at Singrauli STPS
 SI-31       NR-3863-A     2000     3636.3636     C	 400kV Fatehpur-PG(Kanpur) at Singrauli STPS (NP-5052-A rep on ..1119)
 SI-33       NP-8201-A     1000     3636.3636     C	 400kV Vindyachal-2  at Singrauli STPS
 SI-21       NP-1545-A     500      3636.3636     S	 GT-1 (400kV) at Singrauli STPS 
 SI-22       NP-1546-A     500      3636.3636     S	 GT-2 (400kV) at Singrauli STPS 
 SI-23       NP-1547-A     500      3636.3636     S	 GT-3 (400kV) at Singrauli STPS 
 SI-24       NR-3862-A     500      3636.3636     S	 GT-4 (400kV) at Singrauli STPS 
 SI-25       NP-1555-A     500      3636.3636     S	 GT-5 (400kV) at Singrauli STPS 
 SI-26       NP-1549-A     1000     3636.3636     S	 GT-6 (400kV) at Singrauli STPS  
 SI-27       NP-1550-A     1000     3636.3636     S	 GT-7 (400kV) at Singrauli STPS  
 SI-28       NP-1551-A     500      3636.3636     S	 ICT-1 (400kV) at Singrauli STPS 
 SI-29       NP-1552-A     500      3636.3636     S	 ICT-2 (400kV) at Singrauli STPS
 SI-34       NP-8240-A     400	    300  	  M	 33  Kv Side ICT-1 (33kV/132kV) at Singrauli Solar,NTPC(COD 31.12.14)
 SI-35       NP-8239-A     150	    1200  	  S	 132 Kv Side ICT-1 (33kV/132kV) at Singrauli Solar,NTPC(COD 31.12.14)
 SI-36       NR-4493-A     200      300           M	 33KV Singrauli STPS at Singrauli Hydro
 SI-37       NR-4490-A     200      300           S	 33KV Singrauli Hydro at Singrauli STPS
 RI-01       NP-1275-A     2000     3636.3636     M	 400kV Singrauli - 1 at Rihand STPS  
 RI-02       NP-1277-A     2000     3636.3636     M	 400kV Singrauli - 2 at Rihand STPS  
 RI-03       NP-1279-A     2000     3636.3636     M	 400kV HVDC - 1 at Rihand STPS  
 RI-04       NP-1281-A     2000     3636.3636     M	 400kV HVDC - 2 at Rihand STPS  
 RI-05       NP-1283-A     1000     1200          M	 132 kV V'chal/Singrauli at Rihand STPS 
 RI-06       NR-4679-B     30       100           M	 11kV HVDC-1(aux) at HVDC Rihand 1- POWERGRID (NP-1075-B meter replaced on 010619)
